key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
PUMPKIN_SEED,Pumpkin Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUMPKIN_SEED,"Closely guarded by the Pumpkin Horseman, these seeds allow you to grow pumpkins.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BONE,Bone,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONE,"Dropped by skeletons, some cultures see it as taboo, others make sure to utilise it wherever they can.",,,,,,,,,,,,,,,,,,,,,,,,,,,
STRING,String,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRING,"Spider silk, although cheap it becomes expensive to gather the quantities needed for clothing.",,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLTEN_SULFUR,Molten Sulfur,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLTEN_SULFUR,Molten Sulfur has a unique relationship with making things burn \u2728toxicly\u2728.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLIME_BALL,Slime Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLIME_BALL,A sticky ball of slime.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGAE,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGAE,"Found uncommonly in most bodies of water. Since it's a plant, maybe magic could transform it into a flower?",,,,,,,,,,,,,,,,,,,,,,,,,,,
BEETLE_HUSK,Beetle Husk,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEETLE_HUSK,"Found rarely by fishing in jungles, these husks limit their speed, but greatly increase their defense. I wonder if it could be used by humans?",,,,,,,,,,,,,,,,,,,,,,,,,,,
VIOLET_HUSK,Violet Husk,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIOLET_HUSK,"Found rarely from beetles in jungles, these husks are useful as a purple dye.",,,,,,,,,,,,,,,,,,,,,,,,,,,
TURTLE_SHELL,Turtle Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURTLE_SHELL,"Found very rarely by fishing in jungles, these shells limit their offense and speed, but drastically increase their defense. I wonder if it could be used by humans?",,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAL_HIDE,Seal Hide,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAL_HIDE,"Very warm, might make a good coat. Limited supply, so high price fluctuations.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,Did you know there are 11 different solid phases of water?,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELLSTONE,Hellstone,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELLSTONE,"Magma has pierced through this rock, be careful around it. Hot like hell!",,,,,,,,,,,,,,,,,,,,,,,,,,,
VULRINTH_BAR,Vulrinth Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
VULRINTH_BAR,The most luxurious of collectibles. Afforded only by those that are the master of stonks. It's an investors dream.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC_CRYSTAL,Magic Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC_CRYSTAL,"This is a very magical crystal, only the best of investors can ever hope to purchase one.",,,,,,,,,,,,,,,,,,,,,,,,,,,
XBOX_SERIES_X,Xbox Series X,,,,,,,,,,,,,,,,,,,,,,,,,,,
XBOX_SERIES_X,Plays Halo pretty fine.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUES_BALD_HEAD,Blue's Bald Head,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUES_BALD_HEAD,If Blue came back alive today and saw his most popular merchandise was a plastic bald replica of his head I think he would have a fit.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPER,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPER,"The first true papermaking process is attributed to Cai Lun, a Chinese court official, in the first century CE.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOK,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOK,"The first libraries were made to archive the earliest forms of writing, clay tablets written in the cuneiform script from 2600 BCE.",,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_FLOOR,Wood Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_FLOOR,A humble floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_FLOOR,Stone Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_FLOOR,A strong floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_FLOOR,Limestone Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_FLOOR,A pretty floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_FLOOR,Iron Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_FLOOR,A shiny floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_WALL,Wood Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_WALL,A humble wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_WALL,Stone Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_WALL,A strong wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_WALL,Limestone Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_WALL,A pretty wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_WALL,Iron Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_WALL,A shiny wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_DOOR,Wood Door,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_DOOR,A humble door.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_DOOR,Stone Door,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_DOOR,A strong door.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_DOOR,Limestone Door,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_DOOR,A pretty door.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_DOOR,Iron Door,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_DOOR,A shiny door.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_POLE,Wood Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_POLE,A humble pole.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_POLE,Stone Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_POLE,A strong pole.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_POLE,Limestone Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_POLE,A pretty pole.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_POLE,Iron Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_POLE,A shiny pole.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_FENCE,Wood Fence,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_FENCE,A humble fence.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_FENCE,Stone Fence,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_FENCE,A strong fence.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_FENCE,Limestone Fence,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_FENCE,A pretty fence.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_FENCE,Iron Fence,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_FENCE,A shiny fence.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_GATE,Wood Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD_GATE,A humble gate.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_GATE,Stone Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE_GATE,A strong gate.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_GATE,Limestone Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE_GATE,A pretty gate.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_GATE,Iron Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_GATE,A shiny gate.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAVESTONE,Gravestone,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAVESTONE,The dead like to be buried properly.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDOW,Window,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINDOW,All the better to see you with.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGN,Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGN,Sometimes all you need is a sign.,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOT_CHOCOLATE,Hot Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOT_CHOCOLATE,Marshmellows included!,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW_GLOBE,Snow Globe,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW_GLOBE,Winter year round!,,,,,,,,,,,,,,,,,,,,,,,,,,,
VODKA,Vodka,,,,,,,,,,,,,,,,,,,,,,,,,,,
VODKA,A drink not normally found here.,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTATO,Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTATO,A food not normally found here.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKIE,Cookie,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKIE,A nice tasty cookie.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILK,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILK,A nice tasty bucket of milk.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAD,Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAD,A nice tasty loaf of bread.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKED_COD,Cooked Cod,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKED_COD,Nice some cooked fish.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKED_SALMON,Cooked Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKED_SALMON,Nice some cooked fish.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKFISH,Rockfish,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKFISH,"A rare ancient fish with tough rock-like armor, found deep underground.",,,,,,,,,,,,,,,,,,,,,,,,,,,
PIRANHA,Piranha,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIRANHA,An aggressive fish found in the jungle.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERMELON,Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERMELON,A juicy slice of watermelon.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUMPKIN,Pumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUMPKIN,Halloween decoration and food.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT,Coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCONUT,You think you just fell out of a coconut tree?,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUGAR_CANE,Sugar Cane,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUGAR_CANE,Tasty yum food.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUGAR,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUGAR,Tasty yum food.,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGG,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGG,What came first the chicken or the egg?,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUMPKIN_PIE,Pumpkin Pie,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUMPKIN_PIE,Tasty yum food.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUD_PIE,Mud Pie,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUD_PIE,"Maybe not so tasty, but you can still eat it.",,,,,,,,,,,,,,,,,,,,,,,,,,,
CACTUS,Cactus,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACTUS,Cactus club!,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILET_MIGNON,Filet Mignon,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILET_MIGNON,"Best energy for your money, but limited supply.",,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROWAVE,Microwave,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROWAVE,"It's a microwave, it uses the electromagnetic spectrum to heat your food.",,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STEAK,Golden Steak,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STEAK,A high quality steak with gold flakes in it.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTTON,Mutton,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTTON,Tasty mutton to eat.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACON,Bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACON,Tasty bacon to eat.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARAMELS_CREAM,Caramel's Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARAMELS_CREAM,"Cream of Caramel, smells suspiciously of seal.",,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMMIES_PI,Temmie's Pi,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMMIES_PI,3.1415926535...,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROASTED_TURKEY,Roasted Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROASTED_TURKEY,Good for giving thanks during Thanksgiving.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLDY_BREAD,Moldy Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOLDY_BREAD,"Literally trash, why would you buy this?",,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAL_MEAT,Seal Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAL_MEAT,"Slightly delicious, not that nutritious. Infuriates seal squad members.",,,,,,,,,,,,,,,,,,,,,,,,,,,
CAKE,Cake,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAKE,"Very tasty, not very nutritious though",,,,,,,,,,,,,,,,,,,,,,,,,,,
WHEAT,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHEAT,"Can be crafted in to bread and cake, but poor energy on its own.",,,,,,,,,,,,,,,,,,,,,,,,,,,
PICKAXE,Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICKAXE,Used to mine.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_PICKAXE,Copper Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_PICKAXE,"Used to mine, better than a regular pickaxe.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONZE_PICKAXE,Bronze Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONZE_PICKAXE,"Used to mine, better than a copper pickaxe.",,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_PICKAXE,Iron Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_PICKAXE,"Used to mine, better than a bronze pickaxe.",,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER_PICKAXE,Silver Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER_PICKAXE,"Used to mine, better than an iron pickaxe.",,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_PICKAXE,Gold Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_PICKAXE,"Used to mine, better than a silver pickaxe.",,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND_PICKAXE,Diamond Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND_PICKAXE,"Used to mine, better than a gold pickaxe.",,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERALD_PICKAXE,Emerald Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERALD_PICKAXE,"Used to mine, better than a diamond pickaxe.",,,,,,,,,,,,,,,,,,,,,,,,,,,
VULRINTH_PICKAXE,Vulrinth Pickaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,
VULRINTH_PICKAXE,"Used to mine, better than an emerald pickaxe.",,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANIUM_BAR,Titanium Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANIUM_BAR,The refined form of a slightly less common metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANIUM_ORE,Titanium Ore,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANIUM_ORE,The basic form of a slightly less common metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERALD,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMERALD,"A good item to buy and sell, fluctuates a ton like silver.",,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND,"Expensive investment, rarely fluctuates, when it does sure to be good though.",,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_BAR,Gold Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_BAR,"Gold bar. Show off your wealth with this! Stable price, can hold a fair amount.",,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_ORE,Gold Ore,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_ORE,Basic form of a rare metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER_BAR,Silver Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER_BAR,"A bar of silver. Shiny. Worth less than gold, but fluctuates more. Investors love.",,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER_ORE,Silver Ore,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER_ORE,Basic form of a fairly rare metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_BAR,Iron Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_BAR,A bar of iron. Used for industrial purposes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_ORE,Iron Ore,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_ORE,Basic form of a useful industrial metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONZE_BAR,Bronze Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONZE_BAR,The first alloy.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIN_BAR,Tin Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIN_BAR,The refined form of a common metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIN_ORE,Tin Ore,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIN_ORE,"From the far away lands of tinland, my dealer wont tell me where he gets it from.",,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_BAR,Copper Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_BAR,"Copper Bar. Cheap, stable price. Good metal for machines and electronics.",,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_ORE,Copper Ore,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_ORE,Basic form of a pretty common metal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COAL,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,
COAL,A cheap industrial fuel.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORE_CHUNK,Ore Chunk,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORE_CHUNK,"A junk piece of ore that cannot be used, or can it?",,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONE,Just a piece of stone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAVEL,Gravel,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAVEL,I love gravel.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE,Limestone,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE,It's like stone but prettier.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKSTONE,Blackstone,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACKSTONE,A burnt piece of stone from pyroclast.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASALT,Basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASALT,A piece of igneous stone from pyroclast.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPIS_LAZULI,Lapis Lazuli,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPIS_LAZULI,A beautiful rare blue gemstone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,Amber,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,A beautiful rare gold gemstone; fossilized tree resin.,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCA_ROSE,Inca Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCA_ROSE,A beautiful rare pink gemstone; rhodachrosite.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALACHITE,Malachite,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALACHITE,A beautiful rare green gemstone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASPER,Jasper,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASPER,A beautiful rare orange gemstone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPAL,Opal,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPAL,A beautiful rare white gemstone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURQUOISE,Turquoise,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURQUOISE,A beautiful rare turquoise (literally) gemstone.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMP_OIL,Lamp Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMP_OIL,"Lamp oil, fluctuates pretty heavily, a solid choice for starting investors.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BASIC_MACHINE_PART,Basic Machine Part,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASIC_MACHINE_PART,A basic part for making machines in factories.,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL_PRESS,Industrial Press,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL_PRESS,Important part for making any factory to produce bars. Runs on coal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLASMA_CUTTER,Plasma Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLASMA_CUTTER,Important part for making any factory to cut metal. Runs on lamp oil.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCREW,Screw,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCREW,A basic item for making any part for a factory.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAIN,Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAIN,Used for.. well.. whenever you need a chain!,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCED_MACHINE_PART,Advanced Machine Part,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCED_MACHINE_PART,An advanced part for making machines in factories.,,,,,,,,,,,,,,,,,,,,,,,,,,,
