key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
LOOM_MACHINE_DESC,Make your silk with a loom!,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILICON_EXTRACTOR_MACHINE_NAME,Silicon Extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILICON_EXTRACTOR_MACHINE_DESC,Raw silicon straight from the ground.,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIL_DRILLING_RIG_MACHINE_NAME,Oil Drilling Rig,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIL_DRILLING_RIG_MACHINE_DESC,Keep hidden from America.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEP_QUARRY_MACHINE_NAME,Deep Quarry,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEP_QUARRY_MACHINE_DESC,Deeper..deeper..deeper.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENTIENT_MINECART_MACHINE_NAME,Sentient Minecart,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENTIENT_MINECART_MACHINE_DESC,Don't even ask me how this works.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBLIN_MINER_MACHINE_NAME,Goblin Miner,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOBLIN_MINER_MACHINE_DESC,Why mine yourself if a goblin can mine for you!,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLAGER_MINER_MACHINE_NAME,Villager Miner,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLAGER_MINER_MACHINE_DESC,Why mine yourself if a villager can mine for you!,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND_COMPRESSOR_MACHINE_NAME,Diamond Compressor,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND_COMPRESSOR_MACHINE_DESC,From coal to diamonds!,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND_SAW_FACTORY_MACHINE_NAME,Diamond Saw Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIAMOND_SAW_FACTORY_MACHINE_DESC,In order to make your nice shiny saws!,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORE_EXTRACTOR_MACHINE_NAME,Ore Extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORE_EXTRACTOR_MACHINE_DESC,Extract pieces of ore from ore chunks.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_MOLDER_MACHINE_NAME,Copper Molder,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_MOLDER_MACHINE_DESC,Turn copper ore into copper bars.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIN_MOLDER_MACHINE_NAME,Tin Molder,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIN_MOLDER_MACHINE_DESC,Turn tin ore into tin bars.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONZE_MOLDER_MACHINE_NAME,Bronze Molder,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONZE_MOLDER_MACHINE_DESC,Combine copper and tin into bronze.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_MOLDER_MACHINE_NAME,Iron Molder,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON_MOLDER_MACHINE_DESC,Turn iron ore into iron bars.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER_MOLDER_MACHINE_NAME,Silver Molder,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVER_MOLDER_MACHINE_DESC,Turn silver ore into silver bars.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_MOLDER_MACHINE_NAME,Gold Molder,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_MOLDER_MACHINE_DESC,Turn gold ore into gold bars.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANIUM_MOLDER_MACHINE_NAME,Titanium Molder,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANIUM_MOLDER_MACHINE_DESC,Turn titanium ore into titanium bars.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAD_MILL_MACHINE_NAME,Bread Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAD_MILL_MACHINE_DESC,Produce more bread than ever before!,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDIFIER_MACHINE_NAME,Goldifier,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDIFIER_MACHINE_DESC,"Nothing says rich like gold flaked steak, make some today!",,,,,,,,,,,,,,,,,,,,,,,,,,,
COD_COOKER_MACHINE_NAME,Cod Cooker,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD_COOKER_MACHINE_DESC,Cooks your cod.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALMON_COOKER_MACHINE_NAME,Salmon Cooker,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALMON_COOKER_MACHINE_DESC,Cooks your salmon.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROWAVE_FACTORY_MACHINE_NAME,Microwave Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROWAVE_FACTORY_MACHINE_DESC,For all your microwaving needs.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILICON_FABRICATOR_MACHINE_NAME,Silicon Fabricator,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILICON_FABRICATOR_MACHINE_DESC,Visit TSMC near you!,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCREW_FACTORY_MACHINE_NAME,Screw Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCREW_FACTORY_MACHINE_DESC,Everything has screws so you probably want to make some.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_WIRE_CUTTER_MACHINE_NAME,Copper Wire Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPPER_WIRE_CUTTER_MACHINE_DESC,Turn copper bars into copper wiring.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIRE_INSULATOR_MACHINE_NAME,Wire Insulator,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIRE_INSULATOR_MACHINE_DESC,Insulate copper wiring.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_WIRE_CUTTER_MACHINE_NAME,Gold Wire Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD_WIRE_CUTTER_MACHINE_DESC,Turn gold bars into gold wiring.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASIC_MACHINE_PART_MAKER_MACHINE_NAME,Basic Machine Part Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASIC_MACHINE_PART_MAKER_MACHINE_DESC,Make basic machine parts.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCED_MACHINE_PART_MAKER_MACHINE_NAME,Advanced Machine Part Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCED_MACHINE_PART_MAKER_MACHINE_DESC,Make advanced machine parts.,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERATOR_FACTORY_MACHINE_NAME,Generator Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERATOR_FACTORY_MACHINE_DESC,Produce all the generators for your generation needs.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLDERING_IRON_MAKER_MACHINE_NAME,Soldering Iron Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLDERING_IRON_MAKER_MACHINE_DESC,Makes soldering irons.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL_FACTORY_MACHINE_NAME,Mill Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL_FACTORY_MACHINE_DESC,Produces mills for all your food needs.,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRAL_PRESS_FACTORY_MACHINE_NAME,Industrial Press Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRAL_PRESS_FACTORY_MACHINE_DESC,Produces industrial presses.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLASMA_CUTTER_FACTORY_MACHINE_NAME,Plasma Cutter Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLASMA_CUTTER_FACTORY_MACHINE_DESC,Produces plasma cutters.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANK_FACTORY_MACHINE_NAME,T-34 Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANK_FACTORY_MACHINE_DESC,Assemble the greatest army of tanks the world has ever seen!,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPACE_ROCKET_ASSEMBLER_MACHINE_NAME,Falcon Heavy Rocket Assembler,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPACE_ROCKET_ASSEMBLER_MACHINE_DESC,Send humanity back to the moon with these shiny new rockets!,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPPLING_HOOK_MAKER_MACHINE_NAME,Grappling Hook Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPPLING_HOOK_MAKER_MACHINE_DESC,Makes all the grappling hooks you could ever want.,,,,,,,,,,,,,,,,,,,,,,,,,,,
