key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
STAR_LAUNCHER_EFFECT_DESC,Uses comet fragments.,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWER_UP_EFFECT_NAME,Power Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWER_UP_EFFECT_DESC,Doubles damage after each attack.,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORNS_DAMAGE_EFFECT_NAME,Thorns Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORNS_DAMAGE_EFFECT_DESC,+30 damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGENERATOR_EFFECT_NAME,Regenerator,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGENERATOR_EFFECT_DESC,Regens half of max health after taking damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLESSED_EFFECT_NAME,Blessed,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLESSED_EFFECT_DESC,"+100 max health, and regens 50 health after taking damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTER_MAGIC_EFFECT_NAME,Counter Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTER_MAGIC_EFFECT_DESC,Does half damage if enemy has a mana crystal.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANA_EFFECT_NAME,Mana,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANA_EFFECT_DESC,Allows use of magic weapons.,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANGER_EFFECT_NAME,Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANGER_EFFECT_DESC,+40 damage on ammo.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLASH_EFFECT_NAME,Slash,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLASH_EFFECT_DESC,x1.2 piercing damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORE_HEALTH_EFFECT_NAME,More Health,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORE_HEALTH_EFFECT_DESC,+100 max health.,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICKLY_SHIELD_EFFECT_NAME,Prickly Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICKLY_SHIELD_EFFECT_DESC,"+80 damage, +125 defense.",,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAKLY_BUFFED_EFFECT_NAME,Weakly Buffed,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEAKLY_BUFFED_EFFECT_DESC,+30 in each stat.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFED_EFFECT_NAME,Buffed,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFED_EFFECT_DESC,+60 in each stat.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRONGLY_BUFFED_EFFECT_NAME,Strongly Buffed,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRONGLY_BUFFED_EFFECT_DESC,+90 in each stat.,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAW_POWER_EFFECT_NAME,Raw Power,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAW_POWER_EFFECT_DESC,"If your total damage is less than 200 then it will become 200, otherwise +50 damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOKED_ON_EFFECT_NAME,Hooked On,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOKED_ON_EFFECT_DESC,"+170 speed, +30 damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHT_SPEED_EFFECT_NAME,Light Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHT_SPEED_EFFECT_DESC,+500 speed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIELDED_EFFECT_NAME,Shielded,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIELDED_EFFECT_DESC,Prevents enemy attacks of less than 500 damage from going first.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAKABLE_EFFECT_NAME,Breakable,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAKABLE_EFFECT_DESC,Enemy attacks of at least 300 damage will break this item.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRIFICIAL_EFFECT_NAME,Sacrificial,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRIFICIAL_EFFECT_DESC,Instead of an item breaking this will use instead.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRENGTH_EFFECT_NAME,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRENGTH_EFFECT_DESC,x1.5 damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURTLED_EFFECT_NAME,Turtled,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURTLED_EFFECT_DESC,"x3 defense, x0.5 damage, x0.5 speed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
CACTUSIFICATED_EFFECT_NAME,Cactusificated,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACTUSIFICATED_EFFECT_DESC,x2 piercing damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRONIFIED_EFFECT_NAME,Ironified,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRONIFIED_EFFECT_DESC,"x1.5 blunt damage, x1.25 defense.",,,,,,,,,,,,,,,,,,,,,,,,,,,
EVIL_EFFECT_NAME,Evil,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVIL_EFFECT_DESC,"+50 max health, +100 defense.",,,,,,,,,,,,,,,,,,,,,,,,,,,
TOUGH_EFFECT_NAME,Tough,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOUGH_EFFECT_DESC,Half of incoming magic damage is reduced.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC_GUARD_EFFECT_NAME,Magic Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC_GUARD_EFFECT_DESC,"-50 max health, +50 defense, +100 damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_EFFECT_NAME,Golden,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_EFFECT_DESC,"x1.25 piercing damage, x1.75 blunt damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,
HARD_EFFECT_NAME,Hard,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARD_EFFECT_DESC,+100 defense.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK_EFFECT_NAME,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK_EFFECT_DESC,Always blocks the first hit completely.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARP_EFFECT_NAME,Sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARP_EFFECT_DESC,Ignores up to 50 enemy defense.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENSE_EFFECT_NAME,Dense,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENSE_EFFECT_DESC,Ignores up to 50 enemy blunt damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAL_UP_EFFECT_NAME,Heal Up,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAL_UP_EFFECT_DESC,"Fully regenerates health after every attack, but reduces damage by x0.75.",,,,,,,,,,,,,,,,,,,,,,,,,,,
BEETLED_EFFECT_NAME,Beetled,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEETLED_EFFECT_DESC,"x2 defense, x0.5 speed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
WALL_EFFECT_NAME,Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALL_EFFECT_DESC,+200 defense.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISHING_BUFF_EFFECT_NAME,Fishing Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISHING_BUFF_EFFECT_DESC,+25 fishing power.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRONG_FISHING_BUFF_EFFECT_NAME,Strong Fishing Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRONG_FISHING_BUFF_EFFECT_DESC,+50 fishing power.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISHING_BOOST_EFFECT_NAME,Fishing Boost,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISHING_BOOST_EFFECT_DESC,x1.25 fishing power and -25% bait consumption chance.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINING_BUFF_EFFECT_NAME,Mining Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINING_BUFF_EFFECT_DESC,+10% double ore chance.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRONG_MINING_BUFF_EFFECT_NAME,Strong Mining Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRONG_MINING_BUFF_EFFECT_DESC,+25% double ore chance.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINING_BOOST_EFFECT_NAME,Mining Boost,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINING_BOOST_EFFECT_DESC,x1.25 double ore chance.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVA_FISHING_EFFECT_NAME,Lava Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAVA_FISHING_EFFECT_DESC,Allows fishing in lava.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILKY_EFFECT_NAME,Silky,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILKY_EFFECT_DESC,Fishing line never breaks.,,,,,,,,,,,,,,,,,,,,,,,,,,,
OOZING_EFFECT_NAME,Oozing,,,,,,,,,,,,,,,,,,,,,,,,,,,
OOZING_EFFECT_DESC,"Prevents enemy from seeing, halving their movement speed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
DECAYING_EFFECT_NAME,Decaying,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECAYING_EFFECT_DESC,Deals 100 damage ignoring defense to enemy.,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPLOSION_EFFECT_NAME,Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPLOSION_EFFECT_DESC,"A one-time explosion, goes through half of defense.",,,,,,,,,,,,,,,,,,,,,,,,,,,
WINGS_EFFECT_NAME,Wings,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINGS_EFFECT_DESC,Allows you to fly into the clouds.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARY_EFFECT_NAME,Scary,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCARY_EFFECT_DESC,Scares common and uncommon fish away.,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKY_EFFECT_NAME,Lucky,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKY_EFFECT_DESC,"+20% double ore chance, -25% bait consumption chance, -5% line break chance, +2% special drop chance.",,,,,,,,,,,,,,,,,,,,,,,,,,,
JETPACK_EFFECT_NAME,Jetpack,,,,,,,,,,,,,,,,,,,,,,,,,,,
JETPACK_EFFECT_DESC,Hovers above enemies becoming immune from close ranged attacks.,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLOGRAPHIC_DECOY_EFFECT_NAME,Holographic Decoy,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLOGRAPHIC_DECOY_EFFECT_DESC,Every 30 seconds a holographic decoy shoots out from you distracting all enemies.,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY_SHIELD_EFFECT_NAME,Energy Shield,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGY_SHIELD_EFFECT_DESC,Every 30 seconds for 5 seconds all damage is negated.,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGNETIZED_EFFECT_NAME,Magnetized,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGNETIZED_EFFECT_DESC,Items within 5 tiles are sucked towards you.,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLESSING_OF_ZEUS_EFFECT_NAME,Blessing of Zeus,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLESSING_OF_ZEUS_EFFECT_DESC,Whenever you strike a lightning bolt comes down on your target.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRE_RESISTANT_EFFECT_NAME,Fire Resistant,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRE_RESISTANT_EFFECT_DESC,Takes no damage from fire or lava.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER_WALKING_EFFECT_NAME,Water Walking,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER_WALKING_EFFECT_DESC,Let's you walk over water instead of slowly wading through.,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVISIBLE_EFFECT_NAME,Invisible,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVISIBLE_EFFECT_DESC,Enemies can't see you unless they are within 1 tile of you.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCKTAIL_EFFECT_NAME,Cocktail,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCKTAIL_EFFECT_DESC,Only one way to find out what this does!,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEEDY_EFFECT_NAME,Speedy,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEEDY_EFFECT_DESC,+150 speed,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGENERATION_EFFECT_NAME,Regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGENERATION_EFFECT_DESC,Heals 5 health per second.,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANDS_EFFECT_NAME,Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANDS_EFFECT_DESC,Can use improvised explosives.,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUN_EFFECT_NAME,Stun,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUN_EFFECT_DESC,"Stuns for 1s, with a minimum of 10s in between stuns.",,,,,,,,,,,,,,,,,,,,,,,,,,,
STUNNED_EFFECT_NAME,Stunned,,,,,,,,,,,,,,,,,,,,,,,,,,,
STUNNED_EFFECT_DESC,Cannot move for 1s.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEISMOMETER_EFFECT_NAME,Seismometer,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEISMOMETER_EFFECT_DESC,"Creates an earthquake that damages and stuns all enemies on screen, 30 second cooldown.",,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTENDABLE_ARM_EFFECT_NAME,Extendable Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTENDABLE_ARM_EFFECT_DESC,Deals insane knockback.,,,,,,,,,,,,,,,,,,,,,,,,,,,
