key,en_US,fr_FR,es_MX,de_DE,it_IT,pt_BR,pt_PT,ru_RU,el_GR,tr_TR,da_DK,no_NB,sv_SE,nl_NL,pl_PL,fi_FI,ja_JP,zh_CN,zh_TW,ko_KR,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BS
FISHING_VILLE_LOCATION_DESC,"On this long beach is the best spot to fish, locals believe the goddess Ps\u00e1ria lives here and blesses these waters. The northern parts of the ville have become desert-like due to the lack of wind getting past the mountains all around it.",,,,,,,,,,,,,,,,,,,,,,,,,,,
FORESTS_LOCATION_NAME,Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORESTS_LOCATION_DESC,"A small settlement deep in the forests, perfect for all wood needs. There have been sightings of a mysterious group around here pillaging nearby villages.",,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVEN_LOCATION_NAME,Haven,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVEN_LOCATION_DESC,"Being on a small island, this city is safe from wars and conflict...for now.",,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNGLE_LOCATION_NAME,Jungle,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNGLE_LOCATION_DESC,"Its hard to live in this dense jungle, lots of valuable resources can be found here.",,,,,,,,,,,,,,,,,,,,,,,,,,,
MINES_LOCATION_NAME,Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINES_LOCATION_DESC,"Lots of valuable resources are here in the mountains, being mined for millenia, at its depths is a mysterious ooze.",,,,,,,,,,,,,,,,,,,,,,,,,,,
MINESHAFT_LOCATION_NAME,Mineshaft,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINESHAFT_LOCATION_DESC,A vital source of iron for the Kingdom of Dungeonsia.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGED_PYRAMID_LOCATION_NAME,Singed Pyramid,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGED_PYRAMID_LOCATION_DESC,"Built long ago as a fortress to keep out raiders from pillaging the pyroclast region, now it threatens to invade the rest of the island.",,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT_CITY_LOCATION_NAME,Port City,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT_CITY_LOCATION_DESC,"Understanding our strong market economy, Blue realised it was vital the first city taken would have a port.",,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBBERPORT_LOCATION_NAME,Rubberport,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBBERPORT_LOCATION_DESC,"A smaller port, built on the export of rubber. This is the coldest part of the Blue Republic, and frequently sees snow.",,,,,,,,,,,,,,,,,,,,,,,,,,,
SILK_ROAD_LOCATION_NAME,Silk Road,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILK_ROAD_LOCATION_DESC,"The local merchants here have a reliable source of silk, if only they would share their knowledge.",,,,,,,,,,,,,,,,,,,,,,,,,,,
SKY_CITY_LOCATION_NAME,Sky City,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKY_CITY_LOCATION_DESC,"The city Blue himself founded, prosperous and mighty. So close to the sky, many claim to see things in the clouds here.",,,,,,,,,,,,,,,,,,,,,,,,,,,
THE_CLOUDS_LOCATION_NAME,The Clouds,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE_CLOUDS_LOCATION_DESC,Above the clouds is a mysterious location indeed.,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITHLANDS_LOCATION_NAME,Smithlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITHLANDS_LOCATION_DESC,"Due to its connection to the mines this place has long been the smithing center, recently its exploded as an industrial city, home to all the republic's factories.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHEN_VALLEYS_LOCATION_NAME,Ashen Valleys,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHEN_VALLEYS_LOCATION_DESC,No one crosses these valleys alive.,,,,,,,,,,,,,,,,,,,,,,,,,,,
WITCHES_SWAMP_LOCATION_NAME,Witches' Swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,
WITCHES_SWAMP_LOCATION_DESC,"The swamps are at the edge of republic might, here the witches live autonomously, although they produce our potions they cause lots of havoc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
DYRONIXS_LAIR_LOCATION_NAME,Dyronix's Lair,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYRONIXS_LAIR_LOCATION_DESC,"Rumored to house the ancient legendary beast at the summit, though none have come back alive.",,,,,,,,,,,,,,,,,,,,,,,,,,,
